date,open,high,low,close,volume
2015-02-25,39.5621,39.6881,39.4271,39.5981,29759820
2015-02-26,39.5981,39.8141,39.5081,39.6566,28957329
2015-02-27,39.7241,39.7871,39.3011,39.4721,33807740
2015-03-02,39.3101,39.7781,39.2020,39.4991,31924049
2015-03-03,39.2110,39.4496,38.7880,38.9590,31748648
2015-03-04,38.7159,38.8960,38.5989,38.7565,25748692
2015-03-05,38.7700,38.9230,38.5449,38.8060,23193541
2015-03-06,38.7069,38.8060,37.9418,38.1308,36248785
2015-03-09,37.9778,38.8195,37.9778,38.5719,32107957
2015-03-10,38.1218,38.4459,37.8338,37.8338,39159730
2015-03-11,38.0858,38.1398,37.6628,37.7888,32215314
2015-03-12,37.2037,37.4917,36.7806,36.9246,59992502
2015-03-13,36.6366,37.3297,36.5556,37.2487,58007705
2015-03-16,37.3297,37.4827,37.1587,37.4107,35273452
2015-03-17,37.2397,37.6538,37.0416,37.5322,31673448
2015-03-18,37.2937,38.5539,37.2037,38.2569,44194771
2015-03-19,38.0408,38.3379,38.0048,38.0633,33879066
2015-03-20,38.3109,38.6889,38.2479,38.5989,71904529
2015-03-23,38.5989,38.8240,38.5089,38.5764,26246086
2015-03-24,38.5089,38.8600,38.4819,38.6169,25513252
2015-03-25,38.6349,38.6394,37.3027,37.3207,43469907
2015-03-26,37.1047,37.4557,36.8346,37.0957,37495627
2015-03-27,37.0146,37.2937,36.7536,36.8796,34401398
2015-03-30,36.9966,37.3927,36.8256,36.8706,35049662
2015-03-31,36.7086,36.9336,36.4926,36.5961,34887219
2015-04-01,36.5466,36.6906,36.2855,36.6546,36865322
2015-04-02,36.6006,36.6726,36.1145,36.2675,37487476
2015-04-06,36.3125,37.6088,36.1685,37.3972,39223692
2015-04-07,37.4557,37.7258,37.1857,37.3837,28809375
2015-04-08,37.3207,37.5277,36.9426,37.2847,24753438
2015-04-09,37.1317,37.4647,37.1317,37.3387,25723861
2015-04-10,37.4737,37.7618,37.2757,37.5547,28022002
2015-04-13,37.2667,37.8608,37.2577,37.5907,30276692
2015-04-14,37.6268,37.8338,37.2577,37.4917,24244382
2015-04-15,37.5907,38.2209,37.5187,38.0363,27343581
2015-04-16,37.7618,38.1128,37.6448,37.9508,22509652
2015-04-17,37.5097,37.5727,37.0507,37.4602,42387608
2015-04-20,37.5637,38.8600,37.5187,38.6214,46057733
2015-04-21,38.7069,38.8420,38.2839,38.3784,26013844
2015-04-22,38.4099,38.8240,38.3019,38.6934,25064273
2015-04-23,38.6079,39.2560,38.5269,39.0130,46309530
2015-04-24,41.1014,43.3338,41.0924,43.0907,130933665
2015-04-27,42.5146,43.3248,42.5056,43.2348,59248172
2015-04-28,43.0097,44.2970,42.9377,44.2474,60730778
2015-04-29,43.8559,44.3870,43.6578,44.1619,47804562
2015-04-30,43.8379,44.5940,43.7479,43.7839,64725457
2015-05-01,43.7298,43.9954,43.5678,43.7974,38937336
2015-05-04,43.5408,43.9909,43.3698,43.4238,34039485
2015-05-05,43.0457,43.3518,42.5866,42.8477,50369191
2015-05-06,42.8207,43.0007,41.4254,41.6595,52433020
2015-05-07,41.6505,42.3841,41.5515,42.0375,32971654
2015-05-08,42.8027,43.1898,42.7757,42.9827,35364911
2015-05-11,42.8027,43.1267,42.6407,42.6407,24609416
2015-05-12,42.1726,42.9197,41.7855,42.6227,29928264
2015-05-13,43.3788,43.4958,42.8207,42.8702,34184613
2015-05-14,43.2349,43.9459,43.2348,43.8559,32980892
2015-05-15,43.9909,44.0224,43.2528,43.4733,28642694
2015-05-18,43.1898,43.4058,42.8567,43.2168,24136502
2015-05-19,43.0906,43.3171,42.7463,43.1087,28574813
2015-05-20,42.9366,43.4258,42.8279,43.1087,25047919
2015-05-21,42.8369,43.1269,42.5878,42.9638,22410698
2015-05-22,42.8551,42.9004,42.4202,42.4926,25720583
2015-05-26,42.4292,42.4745,41.8494,42.2118,29581860
2015-05-27,42.4202,43.2809,42.2390,43.1359,27335639
2015-05-28,43.0363,43.5074,42.9366,42.9910,19283666
2015-05-29,42.9728,43.0997,42.2118,42.4564,36519594
2015-06-01,42.6376,43.2809,42.2390,42.7916,28837332
2015-06-02,42.5198,42.9004,42.2390,42.5108,21498326
2015-06-03,42.9185,43.2492,42.4202,42.4473,28002154
2015-06-04,42.3930,42.7282,41.8584,42.0034,27745512
2015-06-05,41.9581,42.1484,41.5323,41.8041,25438086
2015-06-08,41.9490,42.0668,41.3782,41.4326,22121634
2015-06-09,41.4598,41.6229,41.1880,41.3601,24406057
2015-06-10,41.4870,42.4292,41.3963,42.2299,28417405
2015-06-11,42.2752,42.5108,41.7950,42.0759,27347758
2015-06-12,41.8765,42.1030,41.5866,41.6500,23930972
2015-06-15,41.1789,41.3601,40.7894,41.2016,33254517
2015-06-16,41.0883,41.8947,41.0430,41.5232,27070306
2015-06-17,41.4326,41.7406,41.0974,41.6500,28704061
2015-06-18,41.8765,42.4020,41.8312,42.3296,32658343
